old-entity,status,entity,notes,end-date,entry-date,start-date
7010000000,410,,,,,
7010000001,410,,,,,
7010000002,410,,,,,
7010000003,410,,,,,
7010000004,410,,,,,
7010000005,410,,,,,
7010000006,410,,,,,
7010000007,410,,,,,
7010000008,410,,,,,
7010000009,410,,,,,
7010000010,410,,,,,
7010000011,410,,,,,
7010000012,410,,,,,
7010000013,410,,,,,
7010000014,410,,,,,
7010000015,410,,,,,
7010000016,410,,,,,
7010000017,410,,,,,
7010000018,410,,,,,
7010000019,410,,,,,
7010000020,410,,,,,
7010000021,410,,,,,
7010000022,410,,,,,
7010000023,410,,,,,
7010000024,410,,,,,
7010000025,410,,,,,
7010000026,410,,,,,
7010000027,410,,,,,
7010000028,410,,,,,
7010000029,410,,,,,
7010000030,410,,,,,
7010000031,410,,,,,
7010000032,410,,,,,
7010000033,410,,,,,
7010000034,410,,,,,
7010000035,410,,,,,
7010000036,410,,,,,
7010000038,410,,,,,
7010000039,410,,,,,
7010000040,410,,,,,
7010000041,410,,,,,
7010000042,410,,,,,
7010000043,410,,,,,
7010000045,410,,,,,
7010000046,410,,,,,
7010000047,410,,,,,
7010000048,410,,,,,
7010000070,410,,,,,
7010000071,410,,,,,
7010000072,410,,,,,
7010000073,410,,,,,
7010000074,410,,,,,
7010000075,410,,,,,
7010000076,410,,,,,
7010000077,410,,,,,
7010000078,410,,,,,
7010000079,410,,,,,
7010000080,410,,,,,
7010000081,410,,,,,
7010000082,410,,,,,
7010000083,410,,,,,
7010000084,410,,,,,
7010000085,410,,,,,
7010000086,410,,,,,
7010000087,410,,,,,
7010000088,410,,,,,
7010000089,410,,,,,
7010000090,410,,,,,
7010000091,410,,,,,
7010000092,410,,,,,
7010000093,410,,,,,
7010000094,410,,,,,
7010000095,410,,,,,
7010000096,410,,,,,
7010000097,410,,,,,
7010000098,410,,,,,
7010000099,410,,,,,
7010000100,410,,,,,
7010000101,410,,,,,
7010000102,410,,,,,
7010000103,410,,,,,
7010000104,410,,,,,
7010000105,410,,,,,
7010000106,410,,,,,
7010000107,410,,,,,
7010000108,410,,,,,
7010000109,410,,,,,
7010000110,410,,,,,
7010000111,410,,,,,
7010000112,410,,,,,
7010000113,410,,,,,
7010000114,410,,,,,
7010000115,410,,,,,
7010000116,410,,,,,
7010000117,410,,,,,
7010000118,410,,,,,
7010000119,410,,,,,
7010000120,410,,,,,
7010000121,410,,,,,
7010000122,410,,,,,
7010000123,410,,,,,
7010000124,410,,,,,
7010000125,410,,,,,
7010000126,410,,,,,
7010000127,410,,,,,
7010000128,410,,,,,
7010000129,410,,,,,
7010000130,410,,,,,
7010000131,410,,,,,
7010000132,410,,,,,
7010000133,410,,,,,
7010000134,410,,,,,
7010000135,410,,,,,
7010000136,410,,,,,
7010000137,410,,,,,
7010000138,410,,,,,
7010000139,410,,,,,
7010000140,410,,,,,
7010000141,410,,,,,
7010000142,410,,,,,
7010000143,410,,,,,
7010000144,410,,,,,
7010000145,410,,,,,
7010000146,410,,,,,
7010000147,410,,,,,
7010000148,410,,,,,
7010000149,410,,,,,
7010000150,410,,,,,
7010000151,410,,,,,
7010000152,410,,,,,
7010000153,410,,,,,
7010000154,410,,,,,
7010000155,410,,,,,
7010000156,410,,,,,
7010000157,410,,,,,
7010000158,410,,,,,
7010000159,410,,,,,
7010000160,410,,,,,
7010000161,410,,,,,
7010000162,410,,,,,
7010000163,410,,,,,
7010000164,410,,,,,
7010000165,410,,,,,
7010000166,410,,,,,
7010000167,410,,,,,
7010000168,410,,,,,
7010000169,410,,,,,
7010000170,410,,,,,
7010000171,410,,,,,
7010000172,410,,,,,
7010000173,410,,,,,
7010000174,410,,,,,
7010000175,410,,,,,
7010000176,410,,,,,
7010000177,410,,,,,
7010000178,410,,,,,
7010000179,410,,,,,
7010000180,410,,,,,
7010000181,410,,,,,
