source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
22a0290c19f918101eab7e89b8923ff3,,article-4-direction,,,,development-corporation:Q20648596,article-4-direction-area,2021-08-31T16:13:35Z,,
4daa592fc65753d2477bd18c9a2b3e6c,,article-4-direction,,,,development-corporation:Q6670544,article-4-direction-area,2021-08-31T16:13:35Z,,
4429455a8a28b46f13ce5b3faa04e7db,,article-4-direction,,,,development-corporation:Q72456968,article-4-direction-area,2021-08-31T16:13:35Z,,
d2c075697656d15de1fd4302cfe84157,,article-4-direction,,,,development-corporation:Q72463795,article-4-direction-area,2021-08-31T16:13:35Z,,
981b20be5966a742c711f80bc4963942,,article-4-direction,,,,local-authority-eng:ADU,article-4-direction-area,2021-08-31T16:13:35Z,,
575227fa1889c3aa714191aa5dfe25a0,,article-4-direction,,,,local-authority-eng:ALL,article-4-direction-area,2021-08-31T16:13:35Z,,
35bd3727aa723504f7646b39ab00eb77,,article-4-direction,,,,local-authority-eng:AMB,article-4-direction-area,2021-08-31T16:13:35Z,,
2e80a700ce78b7d45a0ecaaa27d86ada,,article-4-direction,,,,local-authority-eng:ARU,article-4-direction-area,2021-08-31T16:13:35Z,,
3c5d2d4b120a44db9ed551d7083709c9,,article-4-direction,,,,local-authority-eng:ASF,article-4-direction-area,2021-08-31T16:13:35Z,,
e891a255e11ddf9ff8032dcb8417da2f,,article-4-direction,,,,local-authority-eng:ASH,article-4-direction-area,2021-08-31T16:13:35Z,,
9b26eef2228f1a5e36b3a160b3a90b04,,article-4-direction,,,,local-authority-eng:AYL,article-4-direction-area,2021-08-31T16:13:35Z,,2020-03-31
0063293b0f009dc098934fc4080380bd,,article-4-direction,,,,local-authority-eng:BAB,article-4-direction-area,2021-08-31T16:13:35Z,,
aa6dbf4ed2501653b706af5894781de7,,article-4-direction,,,,local-authority-eng:BAE,article-4-direction-area,2021-08-31T16:13:35Z,,
7fcea249fb1031ed21edc7b28b91743e,,article-4-direction,,,,local-authority-eng:BAI,article-4-direction-area,2021-08-31T16:13:35Z,,
748f1100749a3efbc653bcceee4b00ae,,article-4-direction,,,,local-authority-eng:BAN,article-4-direction-area,2021-08-31T16:13:35Z,,
66df8fac747196e91d88c665ecd1962a,,article-4-direction,,,,local-authority-eng:BAR,article-4-direction-area,2021-08-31T16:13:35Z,,
89cdde38c6d34ffd9965bb3319aad023,,article-4-direction,,,,local-authority-eng:BAS,article-4-direction-area,2021-08-31T16:13:35Z,,
28a4e3ee2f60e2fa19ca1b1e9a9ccf8c,,article-4-direction,,,,local-authority-eng:BBD,article-4-direction-area,2021-08-31T16:13:35Z,,
f8cdd7fee79942aed600612ca3751061,,article-4-direction,,,,local-authority-eng:BDF,article-4-direction-area,2021-08-31T16:13:35Z,,
531071f80bb522418409a1250e3c8128,,article-4-direction,,,,local-authority-eng:BDG,article-4-direction-area,2021-08-31T16:13:35Z,,
ea626bcf842fe9add747f490bcb93759,,article-4-direction,,,,local-authority-eng:BEN,article-4-direction-area,2021-08-31T16:13:35Z,,
2f7c81456b2dc5afc36baf609eeb774a,,article-4-direction,,,,local-authority-eng:BEX,article-4-direction-area,2021-08-31T16:13:35Z,,
45cc91ebd2a43cb1752677ec548cdc67,,article-4-direction,,,,local-authority-eng:BIR,article-4-direction-area,2021-08-31T16:13:35Z,,
86c0393f0a52fac9b41412947c294677,,article-4-direction,,,,local-authority-eng:BLA,article-4-direction-area,2021-08-31T16:13:35Z,,
29be9a1ef32644eddd0720aeb150e2e6,,article-4-direction,,,,local-authority-eng:BMH,article-4-direction-area,2021-08-31T16:13:35Z,,2019-03-31
6096a330d865457311db6aa6b3dc33cb,,article-4-direction,,,,local-authority-eng:BNE,article-4-direction-area,2021-08-31T16:13:35Z,,
