prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
local-nature-reserve,,,,government-organisation:PB202,SD881411,45250000,,,
local-nature-reserve,,,,government-organisation:PB202,SD862051,45250001,,,
local-nature-reserve,,,,government-organisation:PB202,NZ083502,45250002,,,
local-nature-reserve,,,,government-organisation:PB202,SX873714,45250003,,,
local-nature-reserve,,,,government-organisation:PB202,SJ416858,45250004,,,
local-nature-reserve,,,,government-organisation:PB202,SU511980,45250005,,,
local-nature-reserve,,,,government-organisation:PB202,SJ862891,45250006,,,
local-nature-reserve,,,,government-organisation:PB202,TQ333868,45250007,,,
local-nature-reserve,,,,government-organisation:PB202,TQ368819,45250008,,,
local-nature-reserve,,,,government-organisation:PB202,SE570493,45250009,,,
local-nature-reserve,,,,government-organisation:PB202,SJ436978,45250010,,,
local-nature-reserve,,,,government-organisation:PB202,SP477355,45250011,,,
local-nature-reserve,,,,government-organisation:PB202,SZ346862,45250012,,,
local-nature-reserve,,,,government-organisation:PB202,SD303132,45250013,,,
local-nature-reserve,,,,government-organisation:PB202,TQ378920,45250014,,,
local-nature-reserve,,,,government-organisation:PB202,SP173862,45250015,,,
local-nature-reserve,,,,government-organisation:PB202,SZ062931,45250016,,,
local-nature-reserve,,,,government-organisation:PB202,SU775739,45250017,,,
local-nature-reserve,,,,government-organisation:PB202,TM155445,45250018,,,
local-nature-reserve,,,,government-organisation:PB202,TM153443,45250019,,,
local-nature-reserve,,,,government-organisation:PB202,SK514386,45250020,,,
local-nature-reserve,,,,government-organisation:PB202,SU756751,45250021,,,
local-nature-reserve,,,,government-organisation:PB202,SK342405,45250022,,,
local-nature-reserve,,,,government-organisation:PB202,SO819190,45250023,,,
local-nature-reserve,,,,government-organisation:PB202,SZ580853,45250024,,,
local-nature-reserve,,,,government-organisation:PB202,SE879125,45250025,,,
local-nature-reserve,,,,government-organisation:PB202,SU135313,45250026,,,
local-nature-reserve,,,,government-organisation:PB202,ST634719,45250027,,,
local-nature-reserve,,,,government-organisation:PB202,SE771009,45250028,,,
local-nature-reserve,,,,government-organisation:PB202,SP167877,45250029,,,
local-nature-reserve,,,,government-organisation:PB202,SP859071,45250030,,,
local-nature-reserve,,,,government-organisation:PB202,SO897927,45250031,,,
local-nature-reserve,,,,government-organisation:PB202,SJ911501,45250032,,,
local-nature-reserve,,,,government-organisation:PB202,SO995783,45250033,,,
local-nature-reserve,,,,government-organisation:PB202,SE315218,45250034,,,
local-nature-reserve,,,,government-organisation:PB202,SU825625,45250035,,,
local-nature-reserve,,,,government-organisation:PB202,NU280039,45250036,,,
local-nature-reserve,,,,government-organisation:PB202,TQ792656,45250037,,,
local-nature-reserve,,,,government-organisation:PB202,SE378159,45250038,,,
local-nature-reserve,,,,government-organisation:PB202,SO736563,45250039,,,
local-nature-reserve,,,,government-organisation:PB202,NZ266741,45250040,,,
local-nature-reserve,,,,government-organisation:PB202,SK532831,45250041,,,
local-nature-reserve,,,,government-organisation:PB202,TQ252652,45250042,,,
local-nature-reserve,,,,government-organisation:PB202,SU360469,45250043,,,
local-nature-reserve,,,,government-organisation:PB202,TQ329294,45250044,,,
local-nature-reserve,,,,government-organisation:PB202,TL933354,45250045,,,
local-nature-reserve,,,,government-organisation:PB202,TQ535073,45250046,,,
local-nature-reserve,,,,government-organisation:PB202,SD706268,45250047,,,
local-nature-reserve,,,,government-organisation:PB202,TQ022758,45250048,,,
local-nature-reserve,,,,government-organisation:PB202,ST152288,45250049,,,
local-nature-reserve,,,,government-organisation:PB202,SP515735,45250050,,,
local-nature-reserve,,,,government-organisation:PB202,TQ192585,45250051,,,
local-nature-reserve,,,,government-organisation:PB202,SY468924,45250052,,,
local-nature-reserve,,,,government-organisation:PB202,SJ925248,45250053,,,
local-nature-reserve,,,,government-organisation:PB202,TM331912,45250054,,,
local-nature-reserve,,,,government-organisation:PB202,TQ285773,45250055,,,
local-nature-reserve,,,,government-organisation:PB202,TQ730672,45250056,,,
local-nature-reserve,,,,government-organisation:PB202,TQ364028,45250057,,,
local-nature-reserve,,,,government-organisation:PB202,TQ510851,45250058,,,
local-nature-reserve,,,,government-organisation:PB202,TQ382707,45250059,,,
local-nature-reserve,,,,government-organisation:PB202,TQ319208,45250060,,,
local-nature-reserve,,,,government-organisation:PB202,TQ080726,45250061,,,
local-nature-reserve,,,,government-organisation:PB202,NZ264807,45250062,,,
local-nature-reserve,,,,government-organisation:PB202,SP349871,45250063,,,
local-nature-reserve,,,,government-organisation:PB202,SE078283,45250064,,,
local-nature-reserve,,,,government-organisation:PB202,SD986898,45250065,,,
local-nature-reserve,,,,government-organisation:PB202,SU152764,45250066,,,
local-nature-reserve,,,,government-organisation:PB202,SJ923397,45250067,,,
local-nature-reserve,,,,government-organisation:PB202,SX900924,45250068,,,
local-nature-reserve,,,,government-organisation:PB202,SE630287,45250069,,,
local-nature-reserve,,,,government-organisation:PB202,NZ326571,45250070,,,
local-nature-reserve,,,,government-organisation:PB202,TQ223758,45250071,,,
local-nature-reserve,,,,government-organisation:PB202,SP770596,45250072,,,
local-nature-reserve,,,,government-organisation:PB202,TQ594423,45250073,,,
local-nature-reserve,,,,government-organisation:PB202,TL865813,45250074,,,
local-nature-reserve,,,,government-organisation:PB202,TQ308842,45250075,,,
local-nature-reserve,,,,government-organisation:PB202,TL479582,45250076,,,
local-nature-reserve,,,,government-organisation:PB202,TL478584,45250077,,,
local-nature-reserve,,,,government-organisation:PB202,SO860179,45250078,,,
local-nature-reserve,,,,government-organisation:PB202,NT915060,45250079,,,
local-nature-reserve,,,,government-organisation:PB202,SO915897,45250080,,,
local-nature-reserve,,,,government-organisation:PB202,TL722740,45250081,,,
local-nature-reserve,,,,government-organisation:PB202,NZ442136,45250082,,,
local-nature-reserve,,,,government-organisation:PB202,NZ252773,45250083,,,
local-nature-reserve,,,,government-organisation:PB202,NZ446156,45250084,,,
local-nature-reserve,,,,government-organisation:PB202,TQ077924,45250085,,,
local-nature-reserve,,,,government-organisation:PB202,SJ797485,45250086,,,
local-nature-reserve,,,,government-organisation:PB202,TL145151,45250087,,,
local-nature-reserve,,,,government-organisation:PB202,SK547377,45250088,,,
local-nature-reserve,,,,government-organisation:PB202,TQ819877,45250089,,,
local-nature-reserve,,,,government-organisation:PB202,SO492377,45250090,,,
local-nature-reserve,,,,government-organisation:PB202,TQ255623,45250091,,,
local-nature-reserve,,,,government-organisation:PB202,SE279548,45250092,,,
local-nature-reserve,,,,government-organisation:PB202,SK606098,45250093,,,
local-nature-reserve,,,,government-organisation:PB202,SU857849,45250094,,,
local-nature-reserve,,,,government-organisation:PB202,SK528218,45250095,,,
local-nature-reserve,,,,government-organisation:PB202,NZ328311,45250096,,,
local-nature-reserve,,,,government-organisation:PB202,SU548172,45250097,,,
local-nature-reserve,,,,government-organisation:PB202,TR212689,45250098,,,
local-nature-reserve,,,,government-organisation:PB202,SO863047,45250099,,,
local-nature-reserve,,,,government-organisation:PB202,TM199429,45250100,,,
local-nature-reserve,,,,government-organisation:PB202,NZ447166,45250101,,,
local-nature-reserve,,,,government-organisation:PB202,SK352471,45250102,,,
local-nature-reserve,,,,government-organisation:PB202,TQ274852,45250103,,,
local-nature-reserve,,,,government-organisation:PB202,TQ828859,45250104,,,
local-nature-reserve,,,,government-organisation:PB202,SX920946,45250105,,,
local-nature-reserve,,,,government-organisation:PB202,SU120318,45250106,,,
local-nature-reserve,,,,government-organisation:PB202,TQ261077,45250107,,,
local-nature-reserve,,,,government-organisation:PB202,TQ275673,45250108,,,
local-nature-reserve,,,,government-organisation:PB202,TQ156927,45250109,,,
local-nature-reserve,,,,government-organisation:PB202,TQ820670,45250110,,,
local-nature-reserve,,,,government-organisation:PB202,ST292536,45250111,,,
local-nature-reserve,,,,government-organisation:PB202,SU542082,45250112,,,
local-nature-reserve,,,,government-organisation:PB202,SX941564,45250113,,,
local-nature-reserve,,,,government-organisation:PB202,SJ907458,45250114,,,
local-nature-reserve,,,,government-organisation:PB202,TQ337066,45250115,,,
local-nature-reserve,,,,government-organisation:PB202,NZ508189,45250116,,,
local-nature-reserve,,,,government-organisation:PB202,TA042366,45250117,,,
local-nature-reserve,,,,government-organisation:PB202,ST295183,45250118,,,
local-nature-reserve,,,,government-organisation:PB202,SJ885606,45250119,,,
local-nature-reserve,,,,government-organisation:PB202,SJ285910,45250120,,,
local-nature-reserve,,,,government-organisation:PB202,TQ255887,45250121,,,
local-nature-reserve,,,,government-organisation:PB202,SK466114,45250122,,,
local-nature-reserve,,,,government-organisation:PB202,NZ452226,45250123,,,
local-nature-reserve,,,,government-organisation:PB202,SP113780,45250124,,,
local-nature-reserve,,,,government-organisation:PB202,ST443100,45250125,,,
local-nature-reserve,,,,government-organisation:PB202,SK708388,45250126,,,
