prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
contribution-funding-status,,,,,secured,16900000,,,
contribution-funding-status,,,,,received,16900001,,,
contribution-funding-status,,,,,allocated,16900002,,,
contribution-funding-status,,,,,transferred,16900003,,,
contribution-funding-status,,,,,spent,16900004,,,
contribution-purpose,,,,,affordable-housing,16200000,,,
contribution-purpose,,,,,bonds,16200001,,,
contribution-purpose,,,,,cil-administration-costs,16200002,,,
contribution-purpose,,,,,community-facilities,16200003,,,
contribution-purpose,,,,,community-infrastructure-levy,16200004,,,
contribution-purpose,,,,,digital-infrastructure,16200005,,,
contribution-purpose,,,,,economic-development,16200006,,,
contribution-purpose,,,,,education,16200007,,,
contribution-purpose,,,,,flood,16200008,,,
contribution-purpose,,,,,flood-and-water-management,16200009,,,
contribution-purpose,,,,,green-infrastructure,16200010,,,
contribution-purpose,,,,,health,16200011,,,
contribution-purpose,,,,,highways,16200012,,,
contribution-purpose,,,,,land,16200013,,,
contribution-purpose,,,,,mayoral-community-infrastructure-levy,16200014,,,
contribution-purpose,,,,,monitoring-fees,16200015,,,
contribution-purpose,,,,,neighbourhood-community-infrastructure-levy,16200016,,,
contribution-purpose,,,,,open-space,16200017,,,
contribution-purpose,,,,,open-space-and-leisure,16200018,,,
contribution-purpose,,,,,other,16200019,,,
contribution-purpose,,,,,transport,16200020,,,
contribution-purpose,,,,,transport-and-travel,16200021,,,
developer-agreement,,,,local-authority:NFK,06/15/0441/O-6.46,4600000,,,
developer-agreement,,,,local-authority:NFK,06/18/0149/O-6.96a,4600001,,,
developer-agreement,,,,local-authority:NFK,16/02231/OM-2.199,4600002,,,
developer-agreement,,,,local-authority:NFK,3PL/2015/0917/O3.147,4600003,,,
developer-agreement,,,,local-authority:NFK,3PL/2017/0996/O-3.76,4600004,,,
developer-agreement,,,,local-authority:NFK,3PL/2017/1354/F-3.186,4600005,,,
developer-agreement,,,,local-authority:NFK,3PL/2017/1487/O-3.199,4600006,,,
developer-agreement,,,,local-authority:NFK,3PL/2017/1574/O-3.204,4600007,,,
developer-agreement,,,,local-authority:NFK,3PL/2018/0852/F-3.211,4600008,,,
developer-agreement,,,,local-authority:NFK,3PL/2018/0952/O-3.143,4600009,,,
developer-agreement,,,,local-authority:NFK,3PL/2018/1102/O-3.220,4600010,,,
developer-agreement,,,,local-authority:NFK,3PL/2019/1056/O-231,4600011,,,
developer-agreement,,,,local-authority:NFK,9/2/17/1106,4600012,,,
developer-agreement,,,,local-authority:NFK,9/2/17/1151,4600013,,,
developer-agreement,,,,local-authority:NFK,9/3/18/1021,4600014,,,
developer-agreement,,,,local-authority:NFK,9/5/16/1066,4600015,,,
developer-agreement,,,,local-authority:NFK,9/6/18/0173,4600016,,,
developer-agreement,,,,local-authority:TON,17/01595/OAEA_2,4600017,,,
developer-agreement,,,,local-authority:TON,17/03350/FL_1,4600018,,,
developer-agreement,,,,local-authority:TON,18/01013/OA_1,4600019,,,
developer-agreement,,,,local-authority:TON,18/02230/FL_1,4600020,,,
developer-agreement,,,,local-authority:TON,18/02488/FL_1,4600021,,,
developer-agreement,,,,local-authority:TON,18/03008/OA_1,4600022,,,
developer-agreement,,,,local-authority:TON,19/00162/FL_1,4600023,,,
developer-agreement,,,,local-authority:TON,19/00287/FL_1,4600024,,,
developer-agreement,,,,local-authority:TON,19/00979/FL_1,4600025,,,
developer-agreement,,,,local-authority:TON,19/01251/FL_1,4600026,,,
developer-agreement,,,,local-authority:TON,19/01531/OA_1,4600027,,,
developer-agreement,,,,local-authority:TON,19/01632/FL_1,4600028,,,
developer-agreement,,,,local-authority:TON,19/01890/FL_1,4600029,,,
developer-agreement,,,,local-authority:TON,19/01979/FL_1,4600030,,,
developer-agreement,,,,local-authority:TON,19/02047/FL_1,4600031,,,
developer-agreement,,,,local-authority:TON,19/02109/FL_1,4600032,,,
developer-agreement,,,,local-authority:TON,19/02277/FL_1,4600033,,,
developer-agreement,,,,local-authority:TON,19/02455/FL_1,4600034,,,
developer-agreement,,,,local-authority:TON,19/02589/FL_1,4600035,,,
developer-agreement,,,,local-authority:TON,19/02743/FL_1,4600036,,,
developer-agreement,,,,local-authority:NFK,06/15/0441/O,4600037,,,
developer-agreement,,,,local-authority:NFK,06/18/0149/O,4600038,,,
developer-agreement,,,,local-authority:NFK,16/02231/OM,4600039,,,
developer-agreement,,,,local-authority:NFK,3PL/2015/0917/O,4600040,,,
developer-agreement,,,,local-authority:NFK,3PL/2017/0996/O,4600041,,,
developer-agreement,,,,local-authority:NFK,3PL/2017/1354/F,4600042,,,
developer-agreement,,,,local-authority:NFK,3PL/2017/1487/O,4600043,,,
developer-agreement,,,,local-authority:NFK,3PL/2017/1574/O,4600044,,,
developer-agreement,,,,local-authority:NFK,3PL/2018/0852/F,4600045,,,
developer-agreement,,,,local-authority:NFK,3PL/2018/0952/O,4600046,,,
developer-agreement,,,,local-authority:NFK,3PL/2018/1102/O,4600047,,,
developer-agreement,,,,local-authority:NFK,3PL/2016/0952/O,4600048,,,
developer-agreement,,,,local-authority:NFK,3PL/2015/1490/O,4600049,,,
developer-agreement,,,,local-authority:NFK,3PL/2015/1487/O,4600050,,,
developer-agreement,,,,local-authority:NFK,9/6/15/0486,4600051,,,
developer-agreement,,,,local-authority:NFK,9/7/13/1793,4600052,,,
developer-agreement,,,,local-authority:NFK,9/2/17/1720,4600053,,,
developer-agreement,,,,local-authority:NFK,9/2/16/0471,4600054,,,
developer-agreement,,,,local-authority:NFK,9/1/15/1461,4600055,,,
