source,attribution,collection,documentation-url,endpoint,licence,organisation,pipeline,entry-date,start-date,end-date
bf2a1f1cf22c3d61eb607218147342c4,,developer-contributions,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-developer-contributions/developer-contributions-data-adur/,675f65fd59ba990515e78f92aaf5394fa9442c2a6af1e4f99882ff953279f474,,local-authority-eng:ADU,developer-agreement,2020-12-21,2020-12-21,
fb66dfb7c79a8d8576dee9867ec16443,,developer-contributions,https://www.ambervalley.gov.uk/planningobligations,2949face1bcd597baade64dbc4dcda33805a4ea2b8b89105d298013932f2be3d,,local-authority-eng:AMB,developer-agreement,2021-01-11,2021-01-11,
151ca99172626ab9704c27e2479adbd3,,developer-contributions,https://www.ashford.gov.uk/planning-and-development/planning-policy/developer-contributions/,23700b00504d0ebbd20d642feb6c18a8168192ef932060ac148c612ae385a8e0,,local-authority-eng:ASF,developer-agreement,2020-12-22,2020-12-22,
36a7d20786070cad333e08074da3a75e,,developer-contributions,https://www.bolton.gov.uk/planning-policy-strategy/developer-contributions/1,091d167efbcfaf8dac1461915dafc485344fa67890db984f63e9d70cdc49a71e,,local-authority-eng:BOL,developer-agreement,2020-12-23,2020-12-23,
cd05d3b7906d1ba7ab4187acd2436488,,developer-contributions,,baf92f29405c1a04cfb25818fa531d05b29ece1000067f5fee9e855e0969cc24,,local-authority-eng:BOT,developer-agreement,2020-12-22,2020-12-22,
404c179464411ac09fab50b950891251,,developer-contributions,https://www.braintree.gov.uk/homepage/187/developer-agreements,9e811475516670a7f1da1c46472219a07e6ef387d183d49d52bbb43fcc0b2811,,local-authority-eng:BRA,developer-agreement,2021-01-04,2021-01-04,
d43a4a7415f890726e1b590302b1f78a,,developer-contributions,https://www.broxbourne.gov.uk/ifs,b15edd86367e6636e0f485d4a7d538ab0512dad67b7eb1505854177d2f67a150,,local-authority-eng:BRX,developer-agreement,2020-12-22,2020-12-22,
8df5956fb804f98f3e29e6dfdf73e901,,developer-contributions,https://www.charnwood.gov.uk/pages/106_agreements,9926ea3636ef34f766224941b63f631c1b69650a90c74168770317910c128564,,local-authority-eng:CHA,developer-agreement,2020-12-23,2020-12-23,
3206d9dcd5bd3e638ec5d1bf36046894,,developer-contributions,https://www.cheltenham.gov.uk/developer-agreement,910e422ddd3431a329371268bfcade444c7f56188295f21b36fe5fb67b17032d,,local-authority-eng:CHT,developer-agreement,2021-01-04,2021-01-04,
a92af00301976ec41fc4360b8fc0a591,,developer-contributions,https://cumbria.gov.uk/planning-environment/ifs.asp,d4a0f3d0aca376b252ee34333f42c335a97c158c79278ecceb82a7da1b21979d,,local-authority-eng:CMA,developer-agreement,2021-01-04,2021-01-04,
